text,aspect1,aspect2,aspect3,aspect4,aspect5
phong_cảnh agribank hoi an beach resort đẹp bãi_biển chú_trọng sơ_sài phòng agribank thiết_bị hơi cũ xứng resort dọn phòng thật bóng_bẩy,0,-1,0,-1,-1
"khách_sạn sở_hữu bờ_biển cảnh_quan đẹp, phòng_đẹp, ăn_ngon",1,0,1,1,0
ngoại_cảnh tuyệt_vời phòng_đẹp kiến_trúc khu đẹp,0,1,0,0,0
nội_thất bên_trong phòng_ngủ cũ đạt tiêu_chuẩn 4,0,-1,0,0,0
cửa_ra_vào cách_âm tốt sử_dụng cửa phòng cách_âm âm_thanh bên_ngoài ảnh_hưởng sự_thư_giãn riêng_tư khách,0,1,0,0,1
vườn muỗi bay phòng_đẹp khách_sạn phun_thuốc diệt muỗi thường_xuyên,0,1,0,0,0
nhân_viên tiếp_tân chuyên_nghiệp hơi đông khách sự_nhầm_lẫn hậu_quả để_lại ấn_tượng tốt,1,0,0,0,0
khách_sạn phòng tốt đồ_ăn phong_phú bể_bơi rộng đẹp biển,0,1,1,0,0
phòng agribank hội an resort hội_an sạch_sẽ nhà_tắm_hơi nhỏ view đẹp bể_bơi đẹp bãi_tắm đẹp đồ_ăn ngon lắm hơi ít lựa_chọn,0,1,1,0,1
agribank hoi an beach resort hội_an tốt,0,1,0,0,0
"thái_độ phục_vụ nhân_viên hoà_nhã nhiệt_tình tác_phong nhanh_nhẹn đặc_biệt phương nhân_viên phục_vụ bãi_tắm, đồ_ăn ngon",1,0,1,0,0
"khuôn_viên khách_sạn phòng sạch_sẽ thoáng đãng trị_an tốt, giá_cả",0,1,0,1,0
"khách_sạn trang_bị đồ_dùng phòng cũ nhất_là khăn_tắm ngả_màu cháo_lòng cảm_giác đảm_bảo vệ_sinh, đồ_ăn tệ",0,0,-1,0,-1
"nhìn_chung gia_đình hài_lòng dịch_vụ khách_sạn, phòng_đẹp, ăn_ngon",1,1,1,0,0
dịch_vụ tốt,1,0,0,0,0
dịch_vụ chudu24 hài_lòng đặt phòng tương_đối đẹp tại_đây nhân_viên tư_vấn nhiệt_tình giao_dịch nhanh_nhẹn,1,1,0,0,0
lễ_tân bình_thường nhân_viên quầy bún phở phục_vụ buffet lạnh_lùng nhiệt_tình khách,-1,0,0,0,0
phòng xấu,0,-1,0,0,0
"khách_sạn tiêu_chuẩn 4 thực_sự không_được mong_đợi khách_sạn resort 4, phòng không_đẹp",0,-1,0,0,0
"phòng bé thiết_bị cũ hỏng đèn bật bồn_tắm rò tường chỗ bong_tróc hồ bơi mùi clo, đồ_ăn ngon",0,-1,1,0,-1
"nói_chung khách_sạn tương_xứng tiêu_chuẩn 4 giá phòng_khách_hàng trả, phòng_đẹp, giá hợp_ý",0,1,0,1,0
đọc chê mọi_người mạng tiêu_chí bãi_tắm thuận_tiện trẻ_con tắm bể_bơi giá_cả phù_hợp ngân_sách gia_đình mức_giá chung khu_vực vị_trí khách_sạn thuận_lợi thuận_tiện đi_lại đồ_ăn tệ ăn_uống quyết_tâm đặt phòng,0,0,-1,1,0
"chuẩn_bị chấp_nhận điều_kiện tồi phòng_ốc dịch_vụ, giá cao",-1,0,0,-1,0
khuôn_viên khách_sạn đẹp chăm_sóc tốt cây_xanh mát mắt loại hoa đẹp tiểu cảnh pose hình,0,1,0,0,0
bể cảnh giả sơn xây tháng_sau phòng_đẹp hoàn_thành đẹp,0,1,0,0,0
"bể_bơi thích đẹp rộng bể_bơi kèm bể sục trẻ_em, vị_trí đẹp",0,0,0,1,1
phòng đẹp rộng_rãi thoáng_mát bồn_tắm đứng két_sắt sử_dụng ks b bàn_giao thiết_bị cũ,0,1,0,0,-1
ăn_sáng ngon phong_phú mức_giá,0,0,1,1,0
"nghỉ resort phòng_đẹp, phòng đẹp tính_chất nghỉ dưỡng yên_bình riêng_tư trẻ_con chơi lo_lắng",0,1,0,0,0
giường hơi_cứng ăn ngon,0,0,1,0,-1
dọn phòng không_được thông_báo chính_xác giờ check_in check_out khách lưu_trú kịp dọn_dẹp,-1,0,0,0,0
món_ăn_sáng ít lựa_chọn đặc_biệt ghế trẻ_em giá cả,0,0,-1,1,0
khu_vực tắm_biển cứu_hộ trực vị_trí đẹp phục_vụ nhiệt_tình,1,0,0,1,0
nội_thất phòng xuống_cấp khóa cửa hen rỉ cửa tủ hỏng lớp sơn bề_mặt tường xuống_cấp tóm_lại tương_xứng số_tiền đắt du_khách bỏ_ra thuê có_tiếng ,0,-1,0,-1,-1
khách_sạn khuôn_viên đẹp cây_cối thích_hợp nghỉ dưỡng phòng_ốc hơi cũ trang_thiết_bị đẹp nói_chung đạt tiêu_chuẩn,0,-1,0,1,1
thái_độ dịch_vụ giá chudu24 tốt nhiệt_tình tư_vấn khách_hàng thân_thiện khách_hàng cố_gắng đáp_ứng yêu_cầu khách_hàng,1,0,0,0,0
dịch_vụ agribankresort ko tốt ăn_sáng ít đồ cơ_sở vật_chất ko tốt bể bới bẩn,-1,0,-1,0,-1
đanh giá bộ_phận quản_lý agribankresort nhân_viên phục_vụ thái_độ nhiệt_tình chỉ_đạo quản_lý agribankresort chất_lượng dịch_vụ tốt ăn_ngon,1,0,1,0,0
cảm_ơn chudu24 nhiệt_tình đặt phòng_đẹp lưu_ý tư_vấn khách_hàng dịch_vụ đặt khách tránh tình_trạng đến_nơi sử_dụng dịch_vụ cảm_thấy vô_cùng thất_vọng không_được tư_vấn tìm_hiểu kỹ đặt,-1,1,0,0,0
resort phục_vụ tốt giá phòng hợp_lý ăn_sáng hơi ít đồ_ăn thiết_bị bẩn,1,1,-1,1,-1
phòng_ốc hơi muỗi,0,-1,0,0,0
quang_cảnh vị_trí vườn tốt cây_xanh phòng đẹp,0,1,0,1,0
quảng_cáo 4 phòng thua khách_sạn 2,0,-1,0,0,0
nhân_viên ở_đây không_biết nói_chuyện lịch_sự,-1,0,0,0,0
check out tiếng cảm_ơn,1,0,0,0,0
đêm lưu_trú khách_sạn không_gian yên_tĩnh đẹp,0,1,0,0,0
nhân_viên thân_thiện phòng_ốc sáng_sủa,1,1,0,0,0
khung_cảnh đẹp vị_trí đẹp nhân_viên dễ mến nói_thật phòng ốc kém buffet nghèo_nàn,1,-1,-1,1,0
phòng bình_thường wifi kết_nối chậm,0,-1,0,0,-1
xứng_đáng khách_sạn 4 chu_đáo,1,1,0,0,0
bể_bơi khá_tốt giá vừa_phải sạch_sẽ,0,0,0,1,1
cảnh_quan cây_xanh đẹp chăm_chút cẩn_thận cảm_giác thư_giãn dễ_chịu khu vườn,0,0,0,1,0
tầng 2 khu biển yên_tĩnh thoáng_mát,0,1,0,0,0
tòa_nhà đẹp đồ_gỗ phòng tương_đối ổn ngoại_trừ thích sàn_gỗ nhân_tạo gạch lát nhà_vệ_sinh dễ ẩm_ướt,0,1,0,0,-1
nhân_viên phục_vụ thân_thiện nhiệt_tình làm_việc tốt lắm đặc_biệt bộ_phận vệ_sinh buồng phòng nhà_hàng cũ,1,-1,0,0,0
khâu vệ_sinh buồng phòng chú_ý ván gỗ gạch lát sàn vệ_sinh ăn_sáng nhà_hàng cải_thiện có_nhiều món_ăn chất_lượng tốt_hơn,-1,-1,1,0,0
chú_ý đảm_bảo thiết_bị vệ_sinh làm_việc tốt khách phòng dịch_vụ khách,1,0,0,0,1
khách_sạn bố_trí khâu lau sàn_nhà chú_ý vệ_sinh phòng_ốc phục_vụ nhiệt_tình,1,-1,0,0,0
ngoại_cảnh resort đẹp,0,0,0,1,0
vị_trí ngay_cạnh bãi_biển thoáng đãng bãi_biển đẹp,0,0,0,1,0
phòng_ngủ resort tệ giá cao,0,-1,0,-1,0
hầu_như vật_dụng phòng hình_như lau dọn sửa_chữa bụi mức xuống_cấp nghiêm_trọng,0,-1,0,0,-1
bản_lề tủ quần_áo rỉ_sét mĩ quan cánh tủ 3 bản_lề gãy 2 cửa tủ dính bản_lề còn_lại rơi_xuống lúc_nào bản_lề còn_lại không_còn chắc_chắn lắm mỗi_lần mở tủ đồ đỡ cánh tủ đề_phòng gãy nguy_hiểm khách_hàng cẩn_thận để_ý vị_trí đẹp ăn ngon,0,0,1,1,-1
đồ_dùng không khả_quan mấy,0,0,0,0,-1
phòng_tắm nhỏ không_được lắm,0,-1,0,0,-1
chương_trình tivi nghèo_nàn 6 kênh truyền_hình mà_lại nhiễu,-1,0,0,0,0
ý_kiến chủ_quan căn_phòng gặp_phải phòng 413 phòng vị_trí thoáng,0,1,0,1,0
du_khách hội_an tắm_biển nghỉ_ngơi resort hợp_lí giá phòng ok đặt chudu24,0,0,0,1,0
hội_an_chơi đặt phòng agribank chudu24 nhìn phòng toilet website công_ty bám bẩn sỉ màu vàng hình_ảnh phòng superior garden view hình web bộ_mặt resort lau_chùi rửa trước_khi quay_phim,0,1,0,0,-1
xe khách bến_xe hội_an xe bus resort đưa_đón khách_ra hội_an chơi khách_sạn tiện vậy_mà chat nhân_viên không nhiệt_tình resort trả_lời tưởng bận đột_xuất lát_nữa reply,-1,0,0,0,0
không_biết nhân_viên không nhiệt_tình resort tuyển_dụng,-1,0,0,0,0
phòng rộng_rãi đẹp làm_tôi đồ_ăn thất_vọng,0,1,-1,0,0
ồn_ào tưởng_tượng hội_an yên_bình phòng nghe_được âm_thanh bên_ngoài,0,-1,0,0,0
tivi phòng bật đài đài kia ghi tín_hiệu kém,0,0,0,0,-1
bữa_sáng ổn thích buổi_trưa nấu ngon nho tráng_miệng,0,0,1,0,0
thật lòng góp_ý khách_sạn cải_thiện hơn_nữa nhất_là dịch_vụ cung_cách phục_vụ nội_thất phòng giá phục_vụ sao_cho xứng_đáng,-1,-1,0,-1,-1
hy_vọng nhân_viên phục_vụ resort đọc đánh_giá khách tốt_hơn,-1,0,0,0,0
khách_sạn vị_trí đẹp biển cảm_giác thoải_mái hội_an ăn ngon,0,0,1,1,0
10 phút xe bus taxi trung_tâm hội_an hài_lòng phòng_ốc khách_sạn lắm nhìn cũ_kỹ không_được nhất_là cửa_sổ mờ dơ có_lẽ không_được lau_chùi thường_xuyên nhìn vòi sen dám tắm,0,-1,0,0,-1
bữa_ăn tạm_ổn,0,0,-1,0,0
bữa_tối tệ khách_sạn cải_thiện chất_lượng bữa_ăn chất_lượng phục_vụ,-1,0,-1,0,0
thích ở_đây là_phải phục_vụ đợi món rất_lâu bực đói chẳng bưng khách món có_lẽ bực ăn chẳng ngon,-1,0,-1,0,0
dịch_vụ khách_sạn tốt,1,0,0,0,0
spa massage chuyên_nghiệp,1,0,0,0,0
resort dịch_vụ khách lựa_chọn,1,0,0,0,0
nhân_viên nhiệt_tình thân_thiện,1,0,0,0,0
trang_thiết_bị tốt khu vườn xanh không_gian thoáng đãng lành phòng đẹp,0,1,0,0,1
resort cải_thiện phục_vụ ở_nhà quay_trở_lại,-1,0,0,0,0
resort phòng đẹp khu vườn xanh đẹp thích dạo vườn,0,1,0,0,0
nhân_viên nhiệt_tình thân_thiện tiếp_tân quầy,1,0,0,0,0
khách_sạn thiết_kế đẹp phòng trang_trí ổn có_điều cửa_sổ phòng không có_lẽ lau_chùi thường_xuyên,0,1,0,0,-1
đường_truyền internet tốt có_khi tín_hiệu,0,0,0,0,1
phục_vụ món_ăn nhanh_lẹ món_ăn ngon,0,0,1,0,0
đợi_chờ 1 tiếng đồng_hồ bụng sôi nhân_viên nhà_hàng chậm bưng món_ăn chậm,-1,0,-1,0,0
view khách_sạn đẹp bờ biển_cửa đại thơ_mộng thuận_tiện tham_quan phố_cổ hội_an thánh_địa mỹ sơn,0,0,0,1,0
nhân_viên khách_sạn ân_cần chu_đáo,1,0,0,0,0
bữa_sáng ít món thức_ăn ngon,0,0,1,0,0
buffet khách_sạn đạt chuẩn 4 1 2 mũi_né,0,0,1,0,0
xin góp_ý máy heat ấm_nước hồ bơi resort mũi né khách trời lạnh 1 2 miền trung,0,0,0,0,1
nói_chung bình_thường mùa du_lịch dịch_vụ khách lựa_chọn,1,0,0,0,0
điện_thoại nội_bộ hoạt_động internet phòng business center nhà_hàng món_ăn_sáng phong_phú trang_trí nội_thất nhà_hàng tệ,0,-1,1,0,-1
dịch_vụ nói_chung nhân_viên đào_tạo chuyên_nghiệp,1,0,0,0,0
phòng tốt dịch_vụ tốt đặt phòng chudu24 thuận_tiện dịch_vụ nhanh,1,1,0,0,0
phòng_ốc đẹp sạch_sẽ thiết_bị tivi tủ_lạnh đèn hơi cũ,0,1,0,0,-1
khung_cảnh vị_trí đẹp hệ_thống chiếu_sáng không_được đầu_tư,0,0,0,1,-1
dịch_vụ đi_kèm nhà_hàng tốt,1,0,0,0,0
dịch_vụ massage phòng tập_thể_dục tốt,1,0,0,0,0
nói_chung dịch_vụ hơi nghèo_nàn,-1,0,0,0,0
biệt_thự viva đẹp thiết_kế sang_trọng tiện_nghi đầy_đủ khuôn_viên rộng_rãi,0,1,0,1,1
biệt_thự phố viva vũng_tàu chỗ an_toàn có_nhiều côn_trùng,0,1,0,1,0
biệt_thự 196a không_có đẹp nhỏ ngột_ngạt,0,-1,0,0,0
nhân_viên viva ms trâm nhiệt_tình dể thương,1,0,0,0,0
giá hợp_lý,0,0,0,1,0
phòng_ốc sạch_sẽ thoáng_mát,0,1,0,0,0
nhân_viên phục_vụ không_chuyên_nghiệp thân_thiện,-1,0,0,0,0
biệt_thự okie rộng_rãi thoáng,0,1,0,0,0
giá phòng quá_đắt đẹp khách_sạn thuê biệt_thự giá,0,1,0,-1,0
đầu_người rẻ khách_sạn,0,0,0,1,0
gia_đình mua đồ_ăn thịt hải_sản chợ vũng_tàu biệt_thự sẵn bếp gia_vị lò nướng ngoài_trời bbq vui,0,0,1,0,1
thiết_bị vệ_sinh cũ rỉ_sét,0,0,0,0,-1
tủ gỗ hư_hỏng,0,0,0,0,-1
khung_cửa rỉ_sét vách_tường vết hoen_ố,0,0,0,0,-1
view chi chỗ rộng_rãi,0,1,0,1,0
phòng_ốc sạch_sẽ nhân_viên vui_vẻ nhiệt_tình,1,1,0,0,0
hồ_bơi_dơ phòng cũ muỗi nước_lên lầu yếu,0,-1,0,0,-1
internet wifi hơi yếu lỗi,0,0,0,0,-1
tủ_lạnh ngăn mát hư một_số đèn hư sửa,0,0,0,0,-1
xài khách_sạn viva trang_bị phòng tivi tốt_hơn,0,1,0,0,1
dịch_vụ còn_lại tốt,1,0,0,0,0
gia_đình thuê biệt_thự viva vũng_tàu phòng thị tiếp_tân vui_vẻ giao chìa_khóa biệt_thự,1,0,0,0,0
ban_đêm bảo_vệ loanh_quanh kiểm_tra gia_đình yên_tâm thoải_mái nghỉ_ngơi biệt_thự,1,0,0,0,0
bé_nhỏ nhà_tôi thích biệt_thự hồ bơi bé bơi tại_nhà,0,1,0,0,0
gia_đình thích khu nhà_bếp đầy_đủ tiện_nghi máy_lạnh nấu thoải_mái,0,1,0,0,1
phòng_ốc hồ bơi dọn_dẹp sạch_sẽ trước_khi giao trang_thiết_bị hoạt_động tốt,0,1,0,0,1
xe ôtô khó nhà_xe nghiên_cứu,0,0,0,0,1
biệt_thự sạch_sẽ trang_thiết_bị nội_thất khá_tốt,0,1,0,0,1
nhân_viên bảo_vệ công_ty viva canh_chừng trước_cửa ca_thán tiền_lương sống nhờ tiền tip khách đếm người_khách xe ra_vào biệt_thự gia_đình xe 16 chỗ chỗ đậu xe nhân_viên bảo_vệ đem xe gởi giá 70k bãi xe đòi 100k nồi_niêu xoong chảo nhỏ khó nấu_ăn đặt sealink phan_thiết,-1,0,-1,-1,-1
khách_sạn hoàng_hải_long nằm trung_tâm thành_phố hồ_chí_minh tập_trung trung_tâm thương_mại nhà_hàng ăn ngon,0,0,1,1,0
dịch_vụ chất_lượng phục_vụ tốt hài_lòng,1,0,0,0,0
dịch_vụ check in chậm mặc_dù 16h30 lễ_tân mãi phòng xấu buộc gọi chudu24 hỏi phòng,-1,-1,0,0,0
dịch_vụ tồi cháu nhỏ nhà_tôi bì ngã bậc khách_sạn chảy_máu đầu_gối lễ_tân hỏi đứng nhìn,-1,0,0,0,0
khách_sạn tốt,0,1,0,0,0
reception hiểu quy_định hóa_đơn đỏ receive tạo điều_kiện khách nhân_viên thân_thiện,1,0,0,0,0
tư_tưởng quản_lí alba thanh_tân hot springs resort cứng_nhắc tạo sự_thoải_mái du_khách thảm thực_vật bề_mặt tốt cây_bố_trí phù_hợp,-1,0,0,1,1
công_tác quản_lí thân_thiện thích_hợp quy_định khu cứng_nhắc thương_mại thiếu đa_dạng trò_chơi vị_trí đẹp,1,0,0,1,0
alba thanh_tân hot springs resort đẹp không_khí trong_lòng nhân_viên thân_thiện vui_vẻ nhà_hàng phục_vụ món_ăn ngon nhân_viên nhà_hàng chu_đáo giá_cả hợp_lý ở_đây massage nói_chung hài_lòng,1,0,1,1,0
biệt_thự viva an_viên nha_trang hồ bơi đẹp phòng_ốc cũng_tạm 4 đạt chuẩn 4 phòng_ngủ 3 phòng_tắm hơi bất_tiện gia_đình riêng_tư nói_chung mọi_người hài_lòng kỳ_nghỉ,0,1,0,1,-1
dịch_vụ chudu24 chu_đáo nhiệt_tình ủng_hộ,1,0,0,0,0
biệt_thự đẹp trang_trí nội_thất sang_trọng thanh_nhã nhân_viên phục_vụ tốt nhiệt_tình phòng đẹp,1,1,0,0,1
biển an viên tắm_biển bất_tiện hồ bơi phòng sạch_sẽ,0,1,0,0,0
nhìn_chung allezboo beach resort spa vị_trí tốt nhân_viên thân_thiện view đẹp,1,0,0,1,0
một_số hạn_chế như_sau + phòng ban_đêm muỗi,0,-1,0,0,0
buffet ít đồ_ăn 8h nhà_hàng hầu_như đồ_ăn gần_hết nhìn nhìn lui bánh_mì trứng chiên ăn món phở chả_cá,0,0,-1,0,0
thức_ăn ít món không_ngon,0,0,-1,0,0
nhân_viên phục_vụ ăn_sáng chậm có_lẽ bố_trí ít người_phục_vụ,-1,0,0,0,0
allezboo beach resort spa resort tương_đối mát_mẻ sạch_sẽ,0,1,0,0,0
nhân_viên thân_thiện cởi_mở,1,0,0,0,0
phòng tương_đối tốt muỗi toilet vòi xịt bất_tiện,0,1,0,0,-1
thức_ăn ít đơn_điệu xứng_tầm 4,0,0,-1,0,0
allezboo beach resort spa phòng đẹp sạch_sẽ nhân_viên thân_thiện,1,1,0,0,0
khuyết_điểm duy_nhất đồ_ăn ít món xứng_với khách_sạn 4,0,0,-1,0,0
allezboo beach resort spa bãi_biển đẹp hồ bơi đẹp phòng ok,0,1,0,0,1
thức_ăn quá_tệ nhân_viên phục_vụ ăn_sáng tập_trung nói_chuyện chửi_thề quầy bánh lễ_tân vui_vẻ,-1,0,-1,0,0
cảnh allezboo beach resort spa đẹp biển đẹp ăn_sáng ngon nhân_viên dễ_thương quán_ăn tám ú ngon bầy chó mặt_xệ đẹp khuôn_viên đẹp,1,1,1,1,0
hồ bơi sâu độ_dốc ko cứu_hộ túc_trực phao_bơi trẻ_con trẻ_con ko thích_hợp bơi hồ chìm hồ bơi xà_bông tí_xíu gội nội_thất cũ,0,0,0,0,1
vị_trí allezboo beach resort spa đẹp phòng_khách_sạn rộng nội_thất hơi cũ vệ_sinh sạch_sẽ hồ bơi bãi_biển món_ăn bình_thường,0,1,-1,1,-1
allezboo beach resort spa tốt ăn_sáng ít món cải_thiện món_ăn_sáng phòng tốt,0,1,1,0,0
hài_lòng vị_trí khuôn_viên dịch_vụ giá_cả allezboo beach resort spa phục_vụ nhiệt_tình,1,0,0,1,0
chất_lượng dịch_vụ tốt giá tiền bình_dân,1,0,0,1,0
phòng allezboo beach resort spa muỗi mà_lại màn,0,-1,0,0,-1
mọi_thứ allezboo beach resort spa bình_thường nhân_viên phục_vụ phòng thiếu nụ_cười,-1,0,0,0,0
nhân_viên nhiệt_tình phục_vụ tốt,1,0,0,0,0
hồ_bơi_sạch đẹp nằm sát bờ_biển tuyệt,0,0,0,0,1
bãi_tắm rộng sân_bóng tốt,0,0,0,0,1
phòng sạch_sẽ có_nhiều muỗi,0,1,0,0,0
đồ_ăn ngon uống phòng đẹp giá phù_hợp,0,1,1,1,0
phòng_bị hư_máy_lạnh sửa 2 đường_đi phòng buổi_tối đèn cầu_thang,0,-1,0,0,-1
nhìn_chung resort nhỏ phòng xinh_xắn sạch_sẽ khuôn_viên đẹp cây_xanh bãi_cỏ xanh mướt lối loài hoa nở thơm cảm_giác dễ_chịu,0,1,0,1,0
thái_độ nhân_viên lễ_tân lịch_sự nhân_viên quầy bar chu_đáo nhiệt_tình,1,0,0,0,0
một_vài điểm_không đạt_yêu_cầu bể_bơi hơi nhỏ bữa_sáng resort dở ít món chế_biến khó ăn,0,0,-1,0,-1
dịch_vụ chudu24 nhiệt_tình chu_đáo tư_vấn tốt giá_cả hợp_lý,1,0,0,1,0
vị_trí thuận_lợi nhà_hàng bàng,0,0,0,1,0
hồ_bơi_rộng thoải_mái kế biển bãi_cát mịn biển đep chồi nằm_nghỉ,0,0,0,0,1
phòng đẹp garden view duluxe nhìn vườn dễ_chịu hít thở,0,1,0,0,0
thức_ăn bình_thường,0,0,-1,0,0
diện_tích phòng_không phòng nhỏ bồn_tắm cũ,0,-1,0,0,-1
điểm_tâm ít ngon,0,0,-1,0,0
dịch_vụ allezboo beach resort spa tốt,1,0,0,0,0
phong_cách phục_vụ lễ_tân tốt thân_thiện,1,0,0,0,0
phòng_ốc ok,0,1,0,0,0
khuôn_viên đẹp phòng,0,1,0,1,0
khu_vực bãi_biển hồ bơi thích,0,0,0,1,0
phục_vụ tiếp_tân nhà_hàng tốt,1,0,0,0,0
bãi_biển hồ bơi khung_cảnh khuôn_viên tốt tốt tập_thể_dục chạy_bộ tắm_biển buổi_sáng phòng đẹp,0,1,0,1,0
phòng hơi tối quá_nhiều muỗi bình_xịt muỗi ảnh_hưởng không_khí phòng,0,-1,0,0,0
hài_lòng chất_lượng dịch_vụ phòng giá cao,1,0,0,-1,0
dịch_vụ chudu 24 tốt đặc_biệt nhân_viên chudu24 chăm_sóc khách_hàng chu_đáo,1,0,0,0,0
thực_sự_mình hài_lòng sự_chuyên_nghiệp phục_vụ khách_hàng,1,0,0,0,0
khách_sạn đẹp phục_vụ tốt,1,1,0,0,0
view nhìn đẹp phòng sạch_sẽ sang_trọng,0,1,0,1,0
