text,aspect0,aspect1,aspect2,aspect3,aspect4,aspect5
giao hàng nhanh . đóng_gói rất cẩn_thận và chắc_chắn . rất hài_lòng . chất_lượng chưa biết vì chưa sử_dụng,0,0,0,0,1,0
"giao hàng nhanh , được tặng sữa gói",0,1,0,0,1,0
shop ship hàng siêu nhanh . vừa đặt trưa qua sáng nay đã nhận được rồi . cskh tốt . nếu cháu mình dùng thích thì lần sau sẽ ủng_hộ tiếp 👍 🏻,0,1,0,0,1,0
đã nhận được hàng của hàng gói cẩn_thận,0,0,0,0,1,0
sản_phẩm tốt hạn sử_dụng xa rất yên_tâm,0,0,1,1,0,0
đóng_gói sao mà lon móp méo hết v 😪,0,0,0,0,-1,0
"sữa khá thơm . , chuẩn . đặt hôm trước hôm sau nhận được luôn . tốt",0,0,0,1,1,0
"chất_lượng sản_phẩm tốt , giao hàng nhanh , đóng_gói sản_phẩm cẩn_thận",0,0,0,1,1,0
giao hàng nhanh . đóng_gói sản_phẩm cẩn_thận . hình_ảnh không liên_quan . chúc shop bán đk nhiều hàng,0,0,0,0,1,0
gói hàng chắc_chắn . sản_phẩm thật tốt và giao hàng thật nhanh .,0,0,0,1,1,0
đã nhận được hàng giao hàng nhanh đóng_gói cẩn_thận chất_lượng sản_phẩm so với giá tiền chưa dùng nên chưa biết chất_lượng sao nếu oke con thích sẽ ủng_hộ lần sau,0,0,0,0,1,0
"shop gửi hàng nhanh , đóng_gói chắc_chắn nhưng vận_chuyển về vẫn hơi móp một xíu , chưa uống nên chưa biết chất_lượng sữa tn",0,0,0,0,1,0
"sữa thơm ngon , hoa_quả hạn sử_dụng xa . shop gói hàng cẩn_thận . sẽ tiếp_tục ủng_hộ",0,0,1,1,1,0
"nhìn bên ngoài thì thấy ok . chưa dùng chưa biết . nhưng giao cực lâu , xém định hủy_đơn .",0,0,0,1,-1,0
đóng_gói chắc_chắn giao hàng nhanh,0,0,0,0,1,0
"giao hàng nhanh , check được mã_vạch , chưa mở nắp nên không biết chất_lượng thế_nào . đóng_gói chăc chắn",0,0,0,0,1,1
shop đóng_gói hàng khá kỹ . giao hàng nhanh . giá tốt . hạn_dùng xa . sẽ mua thêm khi có nhu_cầu .,1,0,1,0,1,0
date mới đóng hàng cẩn_thận hi_vọng bé sẽ thích,0,0,1,0,1,0
"hàng đóng_gói okie , sản_phẩm chưa sử_dụng nên chưa biết như thế_nào . mua cho đứa em nên để sử_dụng như nào rồi phản_hồi sau , nghe nói sữa của abbot tốt nên mua thử xem như nào .",0,0,0,0,1,0
"sản_phẩm_chất_lượng , giá_cả phải mua nhiều lần ở shop chưa lần nào_là thất_vọng",1,0,0,1,0,0
"giao hàng lâu , shop không rep tin nhắn của khách . sữa hạn sử_dụng xa . shop nên nâng cao chất_lượng phục_vụ khách_hàng hơn nữa . động_viên shop 5sao",0,-1,1,0,-1,0
"shop đóng_gói cẩn_thận . sữa chuẩn , hạn sử_dụng xa , đã mua nhiều lần và sẽ tiếp_tục ủng_hộ",0,0,1,0,1,1
"mình đã mua lần thứ 2 của shop , shop gói hàng siêu cẩn_thận , sẽ ủng_hộ lần tới",0,0,0,0,1,0
giao hàng nhanh gói hàng kỹ đã mua shop này nhiều lần shop rất chu_đáo,0,0,0,0,1,0
"ship nhanh , giá rẻ , hàng chuẩn . trả_lời khách nhanh , lần thứ n mua tại shop : )",1,1,0,0,1,1
"sữa hạn sử_dụng dài , đóng_gói chắc_chắn , giao hàng nhanh_chóng , sẽ còn ủng_hộ shop dài",0,0,1,1,1,0
shop giao đủ hàng . có chút nhầm_lẫn nhưng không thành vẫn đề . sẽ ủng_hộ shop tiếp_tục 😊,0,0,0,0,1,0
"hàng như gói cẩn_thận . , chưa dùng thử nhưng mẫu_mã bên ngoài thì giống như mẫu",0,0,0,0,1,1
"shop gói hàng rất cẩn_thận , giao hàng nhanh , con mình tv uống sữa này đỡ táo hẳn",0,0,1,0,1,0
luôn ủng_hộ shop vì chất_lượng và giá_cả hợp_lý .,1,0,0,1,0,0
"đóng_gói cẩn_thận , hộp sữa hơi móp",0,0,0,0,1,0
chất_lượng oke giống bỉm ở những nơi khác đã mua . tuy_nhiên shop không đóng kèm quà tặng,0,-1,0,1,0,0
"thời_gian giao hàng nhanh , chất_lượng sản_phẩm tốt . đóng_gói rất cẩn_thận",0,0,0,1,1,0
giá rẻ nhưng em bé không hợp_tác nên hơi buồn . giao hàng nhanh . sẽ ủng_hộ lần sau,1,0,0,0,1,0
"đóng_gói cẩn_thận , giao hàng nhanh , giá rẻ , chưa check mã nên không biết thật giả , bé hợp_tác sẽ ủng_hộ shop dài",1,0,0,0,1,0
"sp đóng_gói cẩn_thận , hạn sử_dụng 2022 , vote 5 sao cho shop",0,0,1,0,1,0
"sản_phẩm_chất_lượng tốt , đóng_gói cẩn_thận , giao hàng nhanh_chóng",0,0,0,1,1,0
ko có ảnh lấy tạm ảnh khác ! shop đóng_gói đẹp giao nhanh ! date_dài ! thank_shop,0,0,1,1,1,0
hàng tốt hạn sử_dụng xa,0,0,1,1,0,0
đóng_gói sản_phẩm chắc_chắn sữa thơm và ngon mà tiếc là bé nhà em không chịu hợp_tác,0,0,0,1,1,0
sữa móp nên mình không đánh_giá 5 sao được,0,0,0,0,-1,0
"hàng tốt , chất_lượng ok , 5sao nha cả nhà iu của kem mặn , nhận 20 xu ố là la",0,0,0,1,0,0
"sp giống như mình mua lúc xa , ok lắm",0,0,1,1,0,0
"sản_phẩm tốt , sưã thơm , pha được nhiều shop giao hàng nhanh . .",0,0,0,1,1,0
k biết s dùng keo gắn . bột milo không được mịn không được ngon lắm . bé không thích .,0,0,-1,-1,0,0
"từ khi biết đến yubest thì m trung_thành với nó . dòng bỉm mỏng , nhẹ , thấm hút tốt , giá_cả phải_chăng . nên mua ah",1,0,0,1,0,0
lần đầu mua nhưng có tem chống hàng giả nên yên_tâm . date cũng dài . sẽ ủng_hộ,0,0,1,0,0,1
"giao hàng nhanh , shiper thân_thiện , shop đóng_gói cẩn_thận , đủ số_lượng",0,1,0,0,1,0
"giao hàng sữa ở đây nhiều rồi , chỉ mong hàng chuẩn thôi",0,0,0,0,1,0
"mua được lúc sale nên rẻ hơn ở ngoài mấy chục lận . mặc_dù con còn 2 lon sữa , sp còn tem đầy_đủ",1,0,0,0,0,1
"sản_phẩm tốt , đóng_gói cẩn_thận , giao hàng cũng oke . mọi người nên mua",0,0,0,1,1,0
"đã nhận được hàng . ship cộng chuẩn_bị đồ siêu nhanh . 6h tối qua đặt thì sáng 9h hơn đã nhận được r . shop bọc gói rất kỹ , hạn sử_dụng mới , chưa biết có móp gì không nhưng với giá sale cộng thái_độ phục_vụ như này là xứng_đáng 5 ☆ . thanks_shop",1,1,1,0,1,0
hộp nguyên_vẹn . giao hàng hơi chậm tí nên phải cho bé uống sữa ngoài 1 ngày .,0,0,0,0,-1,0
mua hàng của shop lần 2 . thấy khá là oke nhưng lần này shop giao sữa hạn sử_dụng lại cũ hơn lô nói_chung vẫn oke,0,0,-1,1,0,0
"đóng_gói chắc_chắn , kĩ_càng nhưng dán hơi chặt quá",0,0,0,0,-1,0
"giao hàng nhanh . đóng_gói hàng cũng cẩn_thận date . tháng 3 - 2021 ,",0,0,1,0,1,0
ok nha . date hơi cũ so với mua bên mall . hàng chuẩn chính hãng . dc hoàn xu nữa,0,0,0,1,0,1
"hơi khác bao_bì mấy lon mua ở tiki , nhưng quét mã thì ra thông_tin đúng , vị thơm ngon hơn",0,0,0,1,0,1
chất_lượng sản_phẩm tốt . giao hàng nhanh . gói hàng chắc_chắn 🧡,0,0,0,1,1,0
"sản_phẩm tốt , mua được giá flash sale , đóng_gói sản_phẩm đẹp và chắc_chắn , hạn sử_dụng xa ,",1,0,1,1,1,0
thời_gian giao hàng nhanh . đóng_gói sản_phẩm chắc_chắn . sản_phẩm tốt đã mua nhiều lần của shop,0,0,0,0,1,0
"giao hàng siêu nhanh , đóng_gói chắc_chắn , hạn sử_dụng còn xa_lắc luôn , hi_vọng con hợp sữa sẽ tăng cân để còn ủng_hộ cho shop nhiều hơn",0,0,1,1,1,0
"hàng tốt , giao hàng nhanh , đóng_gói sản_phẩm chắc_chắn . rất đáng tiền",1,0,0,1,1,0
giao hàng khá nhanh . đóng_gói tương_đối . hạn_dùng xa 2021 . hài_lòng .,0,0,1,1,1,0
"giao hàng nhanh , đóng_gói sản_phẩm cẩn_thận , chất_lượng chưa sử_dụng chưa biết thế_nào",0,0,0,0,1,0
"sản_phẩm giống y hình , đóng_gói không bị móp méo , rất phù_hợp túi_tiền , sẽ ủng_hộ lần sau",1,0,0,0,1,1
đóng_gói chắc_chắn . giao siêu nhanh 😻 hàng của công_ty thì đỡ lo trúng hàng giả !,0,0,0,0,1,1
hàng chuẩn chính hãng shop đóng_gói rất cẩn_thận lần sau sẽ vẫn ủng_hộ shop,0,0,0,0,1,1
giao hàng nhanh . bỉm dùng thích . sẽ ủng_hộ sản_phẩm tiếp nếu cần dùng,0,0,0,1,1,0
"giao hàng nhanh , đóng_gói cẩn_thận , ủng_hộ shop . shop uy_tín , chất_lượng tốt",0,1,0,1,1,0
"giao hàng nhanh , chất_lượng sản_phẩm tốt . lần sau sẽ ủng_hộ shop tiếp",0,0,0,1,1,0
"đóng_gói đẹp , giao hàng nhanh , quà tặng balo đẹp lắm nha , còn được mua kèm deals 0 đồng 👍",1,1,0,0,1,0
bỉm thì vẫn oke như mọi khi có điều mùi hơi nồng 😂,0,0,-1,1,0,0
"giao đúng hàng , đóng_gói ổn , .",0,0,0,0,1,0
"giao hàng nhanh lắm luôn . mặc_dù shop ở hà_nội mình lại ở thành_phố hcm. date xa đúng mô_tả , giá tốt",1,0,1,0,1,0
"giao hàng nhanh , đóng_gói cẩn_thận , sản_phẩm_chất_lượng , hạn sử_dụng mới , mẫu_mã mới đẹp",0,0,1,1,1,0
"giao hàng nhanh , hạn sử_dụng dài",0,0,1,0,1,0
"shop giao hàng nhanh , sữa lần này có thay_đổi mẫu hạn sử_dụng xa , còn phải mua của shop nhiều",0,0,1,0,1,0
"chất_lượng sản_phẩm tuyệt_vời , đóng_gói sản_phẩm chắc_chắn , thời_gian giao hàng nhanh . cảm_ơn shop và tiếp_tục ủng_hộ ạ",0,0,0,1,1,0
shop gói hàng cẩn_thận lắm nha . giao nhanh hạn sử_dụng 202 nữa . giá mềm thanks shop,1,0,1,1,1,0
giao hàng lâu,0,0,0,0,-1,0
mua hàng nhiều lần giao nhanh gói kỹ giá cạnh_tranh thông_báo giảm_giá liên_tục shop uy_tín,1,0,0,0,1,1
chất_lượng sản_phẩm tuyệt_vời . chất_lượng sản_phẩm tuyệt_vời .,0,0,0,1,0,0
sản_phẩm đúng như mọi tả . đóng_gói chắc_chắn . giá_cả hợp_lý . sẽ tiếp_tục ủng_hộ shop .,1,0,0,0,1,1
chất_lượng tuyệt_vời . lần trước mua ở shop hộp bị méo nhưng lần này mua đã có cải_thiện hơn . giao hàng nhanh,0,0,0,1,1,0
date tháng chất_lượng sản_phẩm tuyệt_vời . đóng_gói chắc_chắn !,0,0,0,1,1,0
đóng_gói chắc hàng nhiều sẻ mất tgian lâu hơn nên bạn nào muốn đặt thì nên đặt sớm vài ngày_trước khi hết sữa,0,0,0,0,1,0
ngon bổ rẻ . đã mua nhiều lần sản_phẩm này từ shop,1,0,0,1,0,0
"ba hộp đều bị móp nhưng không ảnh_hưởng tới sữa bên trong , hôm_qua mình mới mở hộp đầu_ra cho bé uống , mùi sữa thơm , ngậy",0,0,0,1,-1,0
"to như bao gạo , nhận hàng mà giật cả mình các bác ạ : ) từng dùng thử angel và night rồi , nay thử gold để cho con đóng ngày : ) mình vừa đóng thử 1 cái thấy thấm hút thua xa night , thêm nữa vừa đóng xong thấy con nổi 1 vài cái mụn ở gần khu_vực hậu_môn và hơi ẩm mông : ( mặc_dù chỉ đóng 2 tiếng 20p",0,0,-1,-1,0,0
"shop đóng_gói cẩn_thận , thời_gian giao hàng nhanh . sử_dụng oke sẽ ủng_hộ dài_dài",0,0,0,1,1,0
"sữa đóng bọc chắc_chắn nên không bị móp méo gì hết , hàng giao khá nhanh . sẽ ủng_hộ shop lần sau",0,0,0,0,1,0
sữa thơm ngon béo ngậy trộm_vía bé hợp lắm các mẹ con biếng ăn nên thử nha,0,0,0,1,0,0
"đã mua nhiều lần , bé hết bón và ít bệnh vặt hơn , hấp_thu tốt !",0,0,1,0,0,0
"sữa thơm , sánh . bé nhà mình thích vị này . đóng_gói cẩn_thận . giao hàng không nhanh lắm .",0,0,0,1,1,0
"sản_phẩm tốt , chất_lượng , giá rẻ , shop cực nhiệt_tình , lại tặng thêm quà đáng yêu , lần sau sẽ mua tiếp",1,1,0,1,0,0
"sản_phẩm ok , shop đóng_gói rất kĩ , giao hàng shop",0,0,0,1,1,0
dùng sữa này nhiều lần rồi oke mọi người ơi,0,0,0,1,0,0
"hàng đúng , rẻ hơn bên ngoài ok . để thử xem nếu bé chịu thì ủng_hộ shop tiếp .",1,0,0,0,0,1
"thời_gian giao hàng nhanh , đóng_gói sản_phẩm chắc_chắn , giá_thành tạm được",1,0,0,0,1,0
"hàng nhận như mô_tả , có tem nhập chính hãng",0,0,0,0,0,1
"giao nhanh , hàng nhìn chuẩn nhưng chưa sử_dụng !",0,0,0,0,1,1
hộp sữa mang về giống y chang hộp mình mua ở từ cái tem đến nhãn phụ luôn ý,0,0,0,0,0,1
sản_phẩm tốt,0,0,0,1,0,0
"chất_lượng sản_phẩm tốt , đóng_gói đẹp và kĩ , phục_vụ nhiệt_tình , thời_gian giao hàng này có lỗi nhỏ là giao hàng bị thiếu , mong lần sau sẽ không xảy ra nữa . !",0,1,0,1,1,0
vừa đặt_hàng chiều qua sáng nay đã nhận đc . sẽ ủng_hộ tiếp nếu chất_lượng đảm_bảo nha shop 🥰,0,0,0,0,1,0
giao hàng gói cẩn_thận rất ok 👍,0,0,0,0,1,0
sản_phẩm tốt thời_gian giao hàng nhanh đóng_gói cẩn_thận,0,0,0,1,1,0
"sữa chính hãng , đã mua rất rất nhiều lần tại shop . đặc_biệt shop còn hay flash sale",1,0,0,0,0,1
"giao hàng nhanh , chiều_hôm_qua đặt sáng hôm sau đã nhận được hàng .",0,0,0,0,1,0
đã nhận được hàng . cảm_ơn shop nhiều nhé . rất nhanh và đầy_đủ .,0,0,0,0,1,0
"nhận được hàng siêu nhanh , đính kèm quà cũng xinh yêu nữa . thanks shop nhiều nhiều",0,1,0,0,1,0
"sữa hạn sử_dụng xa , sữa thơm . đúng ý !",0,0,1,1,0,0
giao hàng nhanh . 👍,0,0,0,0,1,0
giao hàng siêu nhanh . sản_phẩm được bọc kĩ_càng nên không bị móp méo,0,0,0,0,1,0
"giao hàng nhanh , đã ủng_hộ shop nhiều lần , đóng_gói sản_phẩm kỹ , cẩn_thận .",0,0,0,0,1,0
"trước mình mua ở shop khác , bé rất thích uống , pha lần 140ml là hết mua của shop về uống mấy bữa rồi mà bé chỉ uống được tầm_nửa . k biết có phải hàng giả không nữa",0,0,0,-1,0,0
"sản_phẩm ok , check mã được , shop trả_lời tin nhắn khách nhanh , thân_thiện , hỗ_trợ tốt khi khách cần , cảm_ơn shop , sẽ mua tiếp 😚",0,1,0,0,0,1
sao_nan nga này lại nắp màu xanh nhỉ . mọi lần mình mua nắp nâu mà .,0,0,0,0,0,-1
"giao hàng siêu nhanh , đóng_gói cực cẩn_thận . đã mua nhiều lần và rất ưng về sản_phẩm .",0,0,0,1,1,0
"shop giao đủ hàng và khá nhanh , sản_phẩm ok , sẽ tiếp_tục ủng_hộ shop",0,0,0,1,1,0
"đóng_gói sản_phẩm chắc_chắn , giao hàng nhanh . giá tốt",1,0,0,0,1,0
"giao hàng nhanh , hàng chuẩn chất_lượng tốt mà giá lại rẻ , nên mua nhé ạ",1,0,0,1,1,1
"giao hàng nhanh , shop phục_vụ tốt . đã mua bên shop rất nhiều lần , lần nào cũng rất hài_lòng",0,1,0,0,1,0
"giao hàng siêu nhanh , dùng xong sẽ đánh_giá tiếp nhé . shop đóng_gói cẩn_thận",0,0,0,0,1,0
"đã đặt của shop nhiều lần , giao hàng nhanh đóng_gói cẩn thân .",0,0,0,0,1,0
"mặc sao toàn bị trào ra , chắc hàng không chuẩn rôi",0,0,0,-1,0,-1
nhận đúng hàng . giao đúng thời_điểm . đóng_gói kĩ không bị bóp_méo .,0,0,0,0,1,0
chất_lượng sản_phẩm tốt . shop đóng_gói cẩn_thận . giao hàng nhanh,0,0,0,1,1,0
"sản_phẩm_chất_lượng , shop làm_việc hiệu_quả , thời_gian giao hàng nhanh , đã mua của shop nhiều lần rồi 🥰",0,1,0,1,1,0
"bé thích ăn loại này , thơm , ngon , giá hợp_lý , 🤣",1,0,0,1,0,0
"hộp đóng chắc_chắn , không móp méo . date_dài , dùng thử ok , sẽ ủng_hộ shop",0,0,1,0,1,0
lần đầu mua ở shop . mua 3 hộp bị móp 1 hộp nhưng không sao . shop nhiệt_tình . cho 5 sao trước .,0,1,0,0,-1,0
"giao hàng siêu nhanh , chất_lượng đảm_bảo , đóng_gói sản_phẩm hài_lòng",0,0,0,1,1,0
"sữa thơm lắm y hàng mua ở shop mẹ bé , nói_chung hàng nhập_khẩu cũng rất oke các mẹ ạ",0,0,0,1,0,0
"giao hàng nhanh , đóng_gói hàng chắc_chắn nhưng hộp sữa vẫn móp và shop dán băng_keo hơi nhiều . , date hình_như_không đều , lần trước mình mua thì shop giao hạn sử_dụng xa hơn lần này .",0,1,0,0,1,0
"đóng_gói sp đẹp , lon hơi bị móp méo tí , thời_gian giao hàng nhanh 💪",0,0,0,0,1,0
hộp sữa hơi bị méo tí đít hộp . giao hàng nhanh . giá rẻ hơn cửa_hàng mẹ và bé .,1,0,0,0,1,0
đã mua nhiều lần sữa giá rẻ nhưng trông rất giống với sữa chính hãng khi vọng là hàng chất_lượng,1,0,0,0,0,1
"shop giao hàng nhanh , đóng_gói cẩn_thận , không móp méo . mình đã mua hàng 2 lần , rất hài_lòng . sẽ ủng_hộ shop lâu_dài 😭",0,0,0,0,1,0
"giao hàng gói cẩn_thận , hi_vọng là sữa chính hãng , sẽ ủng_hộ lần sau",0,0,0,0,1,0
giao hàng khá nhanh . sữa check được mã_vạch . nhưng giao nowship thấy chỉ cho sữa trong túi mà không có đơn hay bọc gói gì cả,0,0,0,0,1,1
"giao hàng nhanh_chóng , sản_phẩm đóng_gói đẹp , cẩn_thận . cám_ơn shop !",0,0,0,0,1,0
"sản_phẩm tốt , giá rẻ , giao hàng nhanh , mọi người nên mua nhé .",1,0,0,1,1,0
sữa nga này ngon cực các mẹ nhé . sản_phẩm tốt hạn sử_dụng xa con uống ngon thích . hết sẽ lại mua của shop . tks,0,0,1,1,0,0
"giao nhanh , hạn sử_dụng xa",0,0,1,0,1,0
giao hàng nhanh check mã ra sản_phẩm mỗi tội hộp sữa không có muôi múc hay bị lộn xuống đáy,0,0,0,0,1,1
mua shop này thì yên_tâm về chất_lượng sản_phẩm rồi đóng_gói đảm_bảo . bán hàng uy_tín chất_lượng . mng chỉ lo săn sale thôi còn mọi thứ shop đã lo,0,0,0,1,1,1
"shop giao đầy_đủ , chăm_sóc kh tốt , gói hàng cẩn_thận chu_đáo . sẽ ủng_hộ dài ạ . hi_vọng shop nhập liên_tục lô hạn sử_dụng xa hơn nữa . giá rẻ . thank_shop",1,1,0,0,1,0
chất_lượng sản_phẩm chưa biết thế_nào . giao hàng nhanh . đóng_gói sản_phẩm chắc_chắn,0,0,0,0,1,0
"hàng đủ tem , giá hợp_lý . cho con dùng thử nếu hợp sẽ tiếp_tục ủng_hộ",1,0,0,0,0,1
"giao hàng nhanh , gói cẩn_thận bé hợp_tác sẽ mua thêm cho bé uống nhưng chưa thấy bé lên kg",0,0,0,0,1,0
"giao hàng nhanh_chóng , hạn sử_dụng xa , có điều gói hàng chưa cẩn_thận lắm",0,0,1,0,-1,0
"giao hàng nhanh , sp hạn sử_dụng xa giá mềm hơn nhiều shop khác , chất_lượng sữa rất tốt cho các bé dưới 10 tuổi biếng ăn .",1,0,1,1,1,0
shop gói hàng cẩn_thận . sữa thơm ngon béo_tốt đậm_đà khó cưỡng luv,0,0,0,1,1,0
đóng_gói sản_phẩm rất đẹp và chắc_chắn . thời_gian giao hàng nhanh,0,0,0,0,1,0
canh đi sales mua giá hời . hàng ổn . nhưng thực không hiểu là sao lại có_thể rẻ vậy luôn .,1,0,0,1,0,0
đóng_gói sản_phẩm cực chắc_chắn . thời_gian giao hàng nhanh . sẽ ủng_hộ shop những lần tới,0,0,0,0,1,0
"shop giao hàng nhanh , đóng_gói cẩn_thận , chất_lượng chưa sử_dụng chưa biết thế_nào",0,0,0,0,1,0
"đã nhận được hàng . chất_lượng tốt , đóng_gói sản_phẩm cẩn_thận . thời_gian giao hàng nhanh .",0,0,0,1,1,0
sữa đến tháng 7 / 2021 hết hạn . mong là chất_lượng không có vấn_đề gì . giá_như này khá oke rồi .,1,0,-1,0,0,0
shop đóng_gói cẩn_thận . hàng đúng chuẩn . sẽ ủng_hộ shop dài_dài .,0,0,0,0,1,1
shop làm_việc có tâm và giải_quyết nhanh các vướng_mắc của khách_hàng,0,1,0,0,0,0
mua nhiều lần của shop rồi mà chả thấy được shop khuyến_mại gì cho . so sad sad . đặt lần nào giao cũng nhanh hết .,0,-1,0,0,1,0
"sữa uống rất tốt , shop dễ_thương , giao hàng rất nhanh , gói hàng kĩ",0,1,0,1,1,0
"sản_phẩm_giá tốt , đóng_gói sản_phẩm rất đẹp và chắc_chắn , thời_gian giao hàng 3 - 4 hôm , shop phục_vụ tốt , trả_lời nhanh , tư_vấn nhiệt_tình",0,1,0,1,1,0
"sản_phẩm tốt , đóng_gói chắc_chắn . shipper jt tốt hơn ghtk rất nhiều",0,0,0,1,1,0
sản_phẩm tốt,0,0,0,1,0,0
giao hàng nhanh . đóng_gói cẩn_thận nhìu lớp . quà tặng đẹp sịn sò . chất_lượng sữa oke . bé rất thích uống sữa này,0,1,0,1,1,0
giá_cả hợp_lý . chất_lượng sản_phẩm tốt . sẽ ủng_hộ shop tiếp lần sau,1,0,0,1,1,0
"lần 2 mua hàng của shop , thấy cũng ổn . giá deal rẻ hơn những chỗ khác , hạn sử_dụng rõ_ràng 2 / 2020 trừ 2 / 2023 . hàng tới cũng không bị móp hay bung nắp",1,0,1,0,0,0
"nhân_viên giao hàng nhiệt_tình , nhận hàng nhanh , có mã hoàn xu nên rẻ hơn mua ở cửa_hàng .",1,1,0,0,1,0
"mua nhiều lần rồi , ưng lắm",0,0,0,1,0,0
"sản_phẩm ok , giao hàng áp được mã giảm_giá nhiều 💕 , và được",1,0,0,1,1,0
đóng_gói chắc_chắn .,0,0,0,0,1,0
sản_phẩm_chất_lượng tuyệt_vời thời_gian giao hàng nhanh_chóng . cảm_ơn shop,0,0,0,1,1,0
"sữa thơm , chất_lượng tốt . sẽ tiếp_tục mua hàng của shop . giao hàng hơi lâu .",0,0,0,1,-1,0
cũng được . nhưng hơi nhạt,0,0,0,1,0,0
"gói xốp mà hộp vẫn móp , chủ_yếu chất_lượng thôi móp không quan ơn shop",0,0,0,1,-1,0
"hàng quá chuẩn chỉ , lần sau sẽ ủng ỉn chế dài_dài !",0,0,0,0,0,1
sữa nhận được hạn sử_dụng mới nhưng không còn nguyên_vẹn sữa bị bục ra ngoài do lắp đậy bị hở không biết trách_nhiệm do shop hay bên ship hàng ?,0,0,0,0,-1,0
shop đóng_gói sản_phẩm cẩn_thận . sữa hạn sử_dụng còn rất xa . giao hàng nhanh nữa . cảm_ơn shop !,0,0,1,1,1,0
"đã nhận được hàng khá nhanh . có mã qr như mình mua ở mà_lại rẻ hơn , sẽ ủng_hộ shop tiếp .",1,0,0,0,1,1
bỉm angel dùng rất mềm_mỏng . mình đã mua rất nhiều lần rùi . shop bán giá rất tốt chuẩn_bị hàng cũng nhanh,1,0,0,1,1,0
giao hàng nhanh .,0,0,0,0,1,0
mua hàng nhiều lần rồi . chuẩn,0,0,0,1,0,0
"sản_phẩm như mô_tả , thời_gian giao hàng nhanh , chất_lượng tốt , tks shop",0,0,0,1,1,1
"hàng giao nhanh , chất_lượng tốt , đóng_gói sản_phẩm cẩn_thận . shop chăm_sóc nhiệt_tình . mình rất hài_lòng .",0,1,0,1,1,0
"giao hàng nhanh , sẽ ủng_hộ shop lần sau tiếp , đóng_gói cẩn_thận",0,0,0,0,1,0
"giao hàng nhanh , đóng_gói gọn và kỹ . hàng hạn sử_dụng 2022 . rất thích",0,0,1,0,1,0
"giao hàng nhanh như một cơn gió 🤩 shop đóng hàng đẹp , 😍",0,0,0,0,1,0
